timestamp_utc,round,load_state,round_start_utc,warmup_start_utc,ready_utc,round_end_utc,locust_exit_code,qps_total,qps_2xx,qps_5xx,frontend_p95
2026-04-12T10:22:23+00:00,1,AQUECIMENTO,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:23:23.847460+00:00,2026-04-12T10:33:23.847460+00:00,1,2.6063240014702123,2.6063240014702123,0.0,0.004749999999999999
2026-04-12T10:22:53+00:00,1,AQUECIMENTO,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:23:23.847460+00:00,2026-04-12T10:33:23.847460+00:00,1,15.281202875148557,11.926147324748067,0.0,0.009551470588235295
2026-04-12T10:23:23+00:00,1,EXECUCAO,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:23:23.847460+00:00,2026-04-12T10:33:23.847460+00:00,1,30.468127823605236,24.433130700152514,0.0,0.008443014705882355
2026-04-12T10:23:53+00:00,1,EXECUCAO,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:23:23.847460+00:00,2026-04-12T10:33:23.847460+00:00,1,31.350409260609304,24.503466169092135,0.0,0.008580935251798557
2026-04-12T10:24:23+00:00,1,EXECUCAO,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:23:23.847460+00:00,2026-04-12T10:33:23.847460+00:00,1,31.76946439446633,25.748670717827455,0.0,0.008568345323741006
2026-04-12T10:24:53+00:00,1,EXECUCAO,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:23:23.847460+00:00,2026-04-12T10:33:23.847460+00:00,1,32.82359193803816,26.217855425787388,0.0,0.008753649635036498
2026-04-12T10:25:23+00:00,1,EXECUCAO,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:23:23.847460+00:00,2026-04-12T10:33:23.847460+00:00,1,34.18780260701351,26.55040907884517,0.0,0.009094771241830064
2026-04-12T10:25:53+00:00,1,EXECUCAO,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:23:23.847460+00:00,2026-04-12T10:33:23.847460+00:00,1,33.687135243826525,26.189078013514585,0.0,0.008667682926829264
2026-04-12T10:26:23+00:00,1,EXECUCAO,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:23:23.847460+00:00,2026-04-12T10:33:23.847460+00:00,1,34.39452953573055,26.74916346805588,0.0,0.010074999999999959
2026-04-12T10:26:53+00:00,1,EXECUCAO,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:23:23.847460+00:00,2026-04-12T10:33:23.847460+00:00,1,34.18982460622745,26.630942862650215,0.0,0.009125000000000001
